name,location,type,resort,visited,ratingHeather,ratingMatt
Amatista Cookhouse,Loews Sapphire Falls Resort,Table Service,Universal,FALSE,,
Antojitos Authentic Mexican Food,Universal CityWalk,Table Service,Universal,FALSE,,
Bayliner Diner,Universal's Cabana Bay Beach Resort,Quick Service,Universal,FALSE,,
Beach Break Cafe,Universal's Endless Summer Resort - Surfside Inn and Suites,Quick Service,Universal,FALSE,,
Bend the Bao,Universal CityWalk,Quick Service,Universal,FALSE,,
Bice Ristorante,Loews Portofino Bay Hotel,Table Service,Universal,FALSE,,
Bigfire,Universal CityWalk,Table Service,Universal,FALSE,,
Blondie's,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Bob Marley-A Tribute to Freedom,Universal CityWalk,Table Service,Universal,FALSE,,
Bread Box Handcrafted Sandwiches,Universal CityWalk,Quick Service,Universal,FALSE,,
Bubba Gump Shrimp Co.™ Restaurant & Market,Universal CityWalk,Table Service,Universal,TRUE,,
Bula Bar & Grille,Loews Royal Pacific Resort,Quick Service,Universal,FALSE,,
Bumblebee Man's Taco Truck,Universal Studios Florida,Quick Service,Universal,FALSE,,
Cafe 4™,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Cafe La Bamba,Universal Studios Florida,Table Service,Universal,FALSE,,
Captain America Diner®,Universal Islands of Adventure,Quick Service,Universal,TRUE,,
Circus McGurkus Cafe Stoo-pendous™,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Cletus' Chicken Shack,Universal Studios Florida,Quick Service,Universal,FALSE,,
Comic Strip Cafe,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Confisco Grille,Universal Islands of Adventure,Table Service,Universal,FALSE,,
Doc Sugrue's Desert Kebab House,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Drhum Club Kantine,Loews Sapphire Falls Resort,Quick Service,Universal,FALSE,,
Finnegan's Bar & Grill,Universal Studios Florida,Table Service,Universal,TRUE,,
Fire Eater's Grill,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Galaxy Bowl Restaurant,Universal's Cabana Bay Beach Resort,Table Service,Universal,FALSE,,
Green Eggs and Ham™ Cafe,Universal Islands of Adventure,Quick Service,Universal,FALSE,,
Hard Rock Cafe® Orlando,Universal CityWalk,Table Service,Universal,FALSE,,
Hot Dog Hall of Fame®,Universal CityWalk,Quick Service,Universal,TRUE,,
Illumination's Minion Cafe,Universal Studios Florida,Table Service,Universal,FALSE,,
