resort,name,location,type,price,visited,ratingHeather,ratingMatt
universal,Amatista Cookhouse,Loews Sapphire Falls Resort,Table Service,,False,,
universal,Antojitos Authentic Mexican Food,Universal CityWalk,Table Service,,False,,
universal,Bayliner Diner,Universal's Cabana Bay Beach Resort,Quick Service,,False,,
universal,Beach Break Cafe,Universal's Endless Summer Resort - Surfside Inn and Suites,Quick Service,,False,,
universal,Bend the Bao,Universal CityWalk,Quick Service,,False,,
universal,Bice Ristorante,Loews Portofino Bay Hotel,Table Service,,False,,
universal,Bigfire,Universal CityWalk,Table Service,,False,,
universal,Blondie's,Universal Islands of Adventure,Quick Service,,False,,
universal,Bob Marley-A Tribute to Freedom,Universal CityWalk,Table Service,,False,,
universal,Bread Box Handcrafted Sandwiches,Universal CityWalk,Quick Service,,False,,
universal,Bubba Gump Shrimp Co.™ Restaurant & Market,Universal CityWalk,Table Service,,True,,
universal,Bula Bar & Grille,Loews Royal Pacific Resort,Quick Service,,False,,
universal,Bumblebee Man's Taco Truck,Universal Studios Florida,Quick Service,,False,,
universal,Cafe 4™,Universal Islands of Adventure,Quick Service,,False,,
universal,Cafe La Bamba,Universal Studios Florida,Table Service,,False,,
universal,Captain America Diner®,Universal Islands of Adventure,Quick Service,,True,,
universal,Circus McGurkus Cafe Stoo-pendous™,Universal Islands of Adventure,Quick Service,,False,,
universal,Cletus' Chicken Shack,Universal Studios Florida,Quick Service,,False,,
universal,Comic Strip Cafe,Universal Islands of Adventure,Quick Service,,False,,
universal,Confisco Grille,Universal Islands of Adventure,Table Service,,False,,
universal,Doc Sugrue's Desert Kebab House,Universal Islands of Adventure,Quick Service,,False,,
universal,Drhum Club Kantine,Loews Sapphire Falls Resort,Quick Service,,False,,
universal,Finnegan's Bar & Grill,Universal Studios Florida,Table Service,,True,,
universal,Fire Eater's Grill,Universal Islands of Adventure,Quick Service,,False,,
universal,Galaxy Bowl Restaurant,Universal's Cabana Bay Beach Resort,Table Service,,False,,
universal,Green Eggs and Ham™ Cafe,Universal Islands of Adventure,Quick Service,,False,,
universal,Hard Rock Cafe® Orlando,Universal CityWalk,Table Service,,False,,
universal,Hot Dog Hall of Fame®,Universal CityWalk,Quick Service,,True,,
universal,Illumination's Minion Cafe,Universal Studios Florida,Table Service,,False,,
universal,Islands Dining Room,Loews Royal Pacific Resort,Table Service,,True,,
universal,Jake's American Bar,Loews Royal Pacific Resort,Table Service,,False,,
universal,Jimmy Buffett's® Margaritaville®,Universal CityWalk,Table Service,,False,,
universal,KidZone Pizza Company,Universal Studios Florida,Quick Service,,False,,
universal,Kohola Reef Restaurant & Social Club,Universal's Volcano Bay,Quick Service,,False,,
universal,Krusty Burger,Universal Studios Florida,Quick Service,,True,,
universal,Leaky Cauldron™,Universal Studios Florida,Table Service,,True,,
universal,Lombard's Seafood Grille,Universal Studios Florida,Table Service,,False,,
universal,Louie's Italian Restaurant,Universal Studios Florida,Quick Service,,False,,
universal,Luigi's Pizza,Universal Studios Florida,Quick Service,,False,,
universal,Mama Della's Ristorante,Loews Portofino Bay Hotel,Table Service,,False,,
universal,Mel's Drive-In,Universal Studios Florida,Quick Service,,True,,
universal,Mythos Restaurant,Universal Islands of Adventure,Table Service,,True,,
universal,NBC Sports Grill & Brew™,Universal CityWalk,Table Service,,False,,
universal,Orchid Court Lounge & Sushi Bar,Loews Royal Pacific Resort,Table Service,,False,,
universal,Pat O'Brien's®,Universal CityWalk,Table Service,,False,,
universal,Pier 8 Market,Universal's Endless Summer Resort - Dockside Inn and Suites,Quick Service,,False,,
universal,Pizza Predattoria,Universal Islands of Adventure,Quick Service,,False,,
universal,Red Oven Pizza Bakery,Universal CityWalk,Quick Service,,False,,
universal,Richter's Burger Co.,Universal Studios Florida,Quick Service,,False,,
universal,Sal's Market Deli,Loews Portofino Bay Hotel,Quick Service,,False,,
universal,Splendido Bar & Grill™,Loews Portofino Bay Hotel,Quick Service,,False,,
universal,The Burger Digs,Universal Islands of Adventure,Quick Service,,True,,
universal,The Cowfish® Sushi Burger Bar,Universal CityWalk,Table Service,,True,,
universal,The Feasting Frog,Universal's Volcano Bay,Quick Service,,False,,
universal,The Frying Dutchman,Universal Studios Florida,Quick Service,,False,,
universal,The Hideaway Bar & Grill,Universal's Cabana Bay Beach Resort,Table Service,,False,,
universal,The Kitchen,Hard Rock Hotel® Orlando,Table Service,,False,,
universal,The Palm,Hard Rock Hotel® Orlando,Table Service,,True,,
universal,The Toothsome Chocolate Emporium and Savory Feast Kitchen,Universal CityWalk,Table Service,,False,,
universal,Three Broomsticks™,Universal Islands of Adventure,Quick Service,,False,,
universal,Thunder Falls Terrace,Universal Islands of Adventure,Quick Service,,False,,
universal,TODAY Cafe,Universal Studios Florida,Quick Service,,False,,
universal,Trattoria del Porto,Loews Portofino Bay Hotel,Table Service,,False,,
universal,VIVO Italian Kitchen,Universal CityWalk,Table Service,,False,,
universal,Whakawaiwai Eats,Universal's Volcano Bay,Quick Service,,False,,
universal,Wimpy's,Universal Islands of Adventure,Quick Service,,False,,
universal,Wine Riffs,Hard Rock Hotel® Orlando,Table Service,,False,,
