resort,name,location,type,price,visited,ratingHeather,ratingMatt
wdw,1900 Park Fare,Disney's Grand Floridian Resort & Spa,Character Dining,$$$$,False,,
wdw,4 Rivers Cantina Barbacoa Food Truck,Disney Springs,Quick Service,$,False,,
wdw,50's Prime Time Café,Disney's Hollywood Studios,Table Service,$$,True,4.0,3.0
wdw,ABC Commissary,Disney's Hollywood Studios,Quick Service,$,True,2.0,1.0
wdw,Akershus Royal Banquet Hall,EPCOT,Character Dining,$$$$,False,,
wdw,Ale & Compass Restaurant,Disney's Yacht Club Resort,Table Service,$$,False,,
wdw,Amare,Walt Disney World Swan Reserve,Table Service,$$$,False,,
wdw,B.B. Wolf's Sausage Co.,Disney Springs,Quick Service,$,False,,
wdw,Backlot Express,Disney's Hollywood Studios,Quick Service,$,True,2.0,3.0
wdw,Banana Cabana,Disney's Caribbean Beach Resort,Table Service,$,False,,
wdw,Be Our Guest Restaurant,Magic Kingdom Park,Table Service,$$$$,True,4.0,4.0
wdw,Beach Club Marketplace,Disney's Beach Club Resort,Quick Service,$,False,,
wdw,Beaches & Cream Soda Shop,Disney's Beach Club Resort,Table Service,$$,False,,
wdw,Biergarten Restaurant,EPCOT,Table Service,$$,True,5.0,5.0
wdw,Blaze Fast-Fire'd Pizza,Disney Springs,Quick Service,$,True,1.0,1.0
wdw,BoardWalk Deli,Disney's BoardWalk,Quick Service,$,False,,
wdw,Boatwright's Dining Hall,Disney's Port Orleans Resort - Riverside,Table Service,$$,False,,
wdw,Boma - Flavors of Africa,Disney's Animal Kingdom Lodge,Table Service,$$$,True,5.0,5.0
wdw,California Grill,Disney's Contemporary Resort,Table Service,$$$$,False,,
wdw,Capa,Four Season Resort Orlando,Table Service,$$$$,False,,
wdw,Cape May Cafe,Disney's Beach Club Resort,Table Service,$$$,False,,
wdw,Capt. Cook's,Disney's Polynesian Village Resort,Quick Service,$,False,,
wdw,Casey's Corner,Magic Kingdom Park,Quick Service,$,False,,
wdw,Catalina Eddie's,Disney's Hollywood Studios,Quick Service,$,False,,
wdw,Centertown Market,Disney's Caribbean Beach Resort,Quick Service,$,False,,
wdw,Chef Art Smith's Homecomin',Disney Springs,Table Service,$$,False,,
wdw,Chef Mickey's,Disney's Contemporary Resort,Table Service,$$$$,True,2.0,2.0
wdw,Chefs de France,EPCOT,Table Service,$$$$,True,4.0,3.0
wdw,Chicken Guy!,Disney Springs,Table Service,$,True,3.0,2.0
wdw,Chip 'n' Dale's Deli,Disney's Saratoga Springs Resort & Spa or Disney's Polynesian Village Resort,Quick Service,$,False,,
wdw,Cinderella's Royal Table,Magic Kingdom Park,Table Service,$$$$,False,,
wdw,Cítricos,Disney's Grand Floridian Resort & Spa,Table Service,$$$,False,,
wdw,City Works Eatery & Pour House,Disney Springs,Table Service,$$,False,,
wdw,Columbia Harbour House,Magic Kingdom Park,Quick Service,$,True,5.0,4.0
wdw,Connections Eatery,EPCOT,Quick Service,$,False,,
wdw,Contempo Café,Disney's Contemporary Resort,Quick Service,$,False,,
wdw,Cookes of Dublin,Disney Springs,Quick Service,$,False,,
wdw,Coral Reef Restaurant,EPCOT,Table Service,$$,False,,
wdw,Cosmic Ray's Starlight Café,Magic Kingdom Park,Quick Service,$,True,3.0,4.0
wdw,D-Luxe Burger,Disney Springs,Quick Service,$,True,1.0,1.0
wdw,Docking Bay 7 Food and Cargo,Disney's Hollywood Studios,Quick Service,$$,True,1.0,2.0
wdw,Dockside Diner,Disney's Hollywood Studios,Quick Service,$,False,,
wdw,Earl of Sandwich®,Disney Springs,Quick Service,$,False,,
wdw,eet by Maneet Chauhan,Disney Springs,Quick Service,$$,False,,
wdw,El Mercado de Coronado,Disney's Coronado Springs Resort,Quick Service,$,False,,
wdw,End Zone Food Court,Disney's All-Star Sports Resort,Quick Service,$,False,,
wdw,Enzo's Hideaway,Disney Springs,Table Service,$$,False,,
wdw,ESPN Wide World of Sports Grill,ESPN Wide World of Sports Complex,Quick Service,$,False,,
wdw,Everything POP Shopping & Dining,Disney's Pop Century Resort,Quick Service,$,False,,
wdw,Fairfax Fare,Disney's Hollywood Studios,Quick Service,$,False,,
wdw,Flame Tree Barbecue,Disney's Animal Kingdom Theme Park,Quick Service,$,True,4.0,3.0
wdw,Flying Fish,Disney's BoardWalk,Table Service,$$$,False,,
wdw,Frontera Cocina,Disney Springs,Table Service,$,False,,
wdw,Garden Grill Restaurant,EPCOT,Table Service,$$$$,False,,
wdw,Garden Grove,Walt Disney World Swan Hotel,Table Service,$$,False,,
wdw,Gasparilla Island Grill,Disney's Grand Floridian Resort & Spa,Quick Service,$,False,,
wdw,Geyser Point Bar & Grill,Disney's Wilderness Lodge,Table Service,$$,False,,
wdw,Grand Floridian Cafe,Disney's Grand Floridian Resort & Spa,Table Service,$$,False,,
wdw,Harambe Market,Disney's Animal Kingdom Theme Park,Quick Service,$,False,,
wdw,Hollywood & Vine,Disney's Hollywood Studios,Table Service,$$$$,False,,
wdw,Hoop-Dee-Doo Musical Revue,The Campsites at Disney's Fort Wilderness Resort,Table Service,$$$$,True,5.0,4.0
wdw,House of Blues Restaurant & Bar,Disney Springs,Table Service,$$,False,,
wdw,Il Mulino,Walt Disney World Swan,Table Service,$$$,False,,
wdw,Intermission Food Court,Disney's All-Star Music Resort,Quick Service,$,False,,
wdw,Jaleo by José Andrés,Disney Springs,Table Service,$$,False,,
wdw,Jiko - The Cooking Place,Disney's Animal Kingdom Lodge,Table Service,$$$,True,5.0,5.0
wdw,Jungle Navigation Co. LTD Skipper Canteen,Magic Kingdom Park,Table Service,$$,True,3.0,3.0
wdw,Kabuki Cafe,EPCOT,Quick Service,$,False,,
wdw,Katsura Grill,EPCOT,Quick Service,$,False,,
wdw,Kimonos,Walt Disney World Swan Hotel,Table Service,$$,False,,
wdw,Kona Cafe,Disney's Polynesian Village Resort,Table Service,$$,False,,
wdw,La Cantina de San Angel,EPCOT,Quick Service,$,False,,
wdw,La Crêperie de Paris,EPCOT,Table Service,$$,False,,
wdw,La Hacienda de San Angel,EPCOT,Table Service,$$,False,,
wdw,Landscape of Flavors,Disney's Art of Animation Resort,Quick Service,$$,False,,
